time	V(out)	I(Bat)
1.533327067630910e-006	2.827280e+001	-5.622518e-004
1.533633059984366e-006	2.827280e+001	-5.622391e-004
1.534015347410978e-006	2.827280e+001	-5.622234e-004
1.534464253884506e-006	2.827280e+001	-5.622047e-004
1.534943931716885e-006	2.827280e+001	-5.621849e-004
1.535215574765294e-006	2.827280e+001	-5.621737e-004
1.535523713191443e-006	2.827280e+001	-5.621609e-004
1.535850929339395e-006	2.827280e+001	-5.621473e-004
1.536279266493629e-006	2.827280e+001	-5.621295e-004
1.536769081221111e-006	2.827280e+001	-5.621092e-004
1.537132431182389e-006	2.827280e+001	-5.620942e-004
1.537421692879773e-006	2.827280e+001	-5.620822e-004
1.537725985714474e-006	2.827280e+001	-5.620696e-004
1.538107714740904e-006	2.827280e+001	-5.620538e-004
1.538555034043976e-006	2.827280e+001	-5.620353e-004
1.539040031033694e-006	2.827280e+001	-5.620152e-004
1.539311901635174e-006	2.827280e+001	-5.620040e-004
1.539624403079382e-006	2.827280e+001	-5.619910e-004
1.539949871791297e-006	2.827280e+001	-5.619775e-004
1.540380416136305e-006	2.827280e+001	-5.619597e-004
1.540867756949882e-006	2.827280e+001	-5.619395e-004
1.541228642549341e-006	2.827280e+001	-5.619245e-004
1.541516638843177e-006	2.827280e+001	-5.619126e-004
1.541819248423585e-006	2.827280e+001	-5.619001e-004
1.542200458140141e-006	2.827280e+001	-5.618844e-004
1.542646228992055e-006	2.827280e+001	-5.618659e-004
1.543136406075401e-006	2.827280e+001	-5.618457e-004
1.543408505945797e-006	2.827280e+001	-5.618344e-004
1.543725245785078e-006	2.827280e+001	-5.618213e-004
1.544049079140063e-006	2.827280e+001	-5.618079e-004
1.544481761583348e-006	2.827280e+001	-5.617900e-004
1.544966776345178e-006	2.827280e+001	-5.617699e-004
1.545325192882159e-006	2.827280e+001	-5.617551e-004
1.545611973413993e-006	2.827280e+001	-5.617432e-004
1.545912941046386e-006	2.827280e+001	-5.617308e-004
1.546293670679865e-006	2.827280e+001	-5.617151e-004
1.546737950340042e-006	2.827280e+001	-5.616968e-004
1.547233091148700e-006	2.827280e+001	-5.616763e-004
1.547505410557696e-006	2.827280e+001	-5.616650e-004
